wavelength,flux
8485.940263614486,4.6951160430908205e-17
8487.897102696883,4.8068170547485357e-17
8489.849732270995,4.729935169219971e-17
8491.802811044974,5.475053787231446e-17
8493.761002017862,1.405006504058838e-16
8495.714980574307,2.2141290664672853e-16
8497.674073684846,1.4534173965454102e-16
8499.628952438285,6.232794761657716e-17
8501.588948102093,5.545156955718995e-17
8503.544727467246,8.992194175720216e-17
8505.500956756874,2.8272779464721683e-16
8507.462306491907,3.866404724121094e-16
8509.41943701544,1.9234970092773438e-16
8511.381690343369,5.651014804840088e-17
8513.339722516006,4.6695489883422855e-17
8515.30287985311,4.422677040100098e-17
8517.261814090241,4.4932117462158205e-17
8519.22119897762,4.5260977745056156e-17
8521.185712570208,4.9750852584838874e-17
8523.146000145274,5.5179190635681154e-17
8525.111418788343,4.976586341857911e-17
8527.072609466966,4.6442403793334966e-17
8529.03893357747,4.513335227966309e-17
8531.00102777571,4.455280303955078e-17
8532.96357335114,4.50878381729126e-17
8534.931255904907,4.507009029388428e-17
8536.894705624154,4.673151016235352e-17
8538.863294688339,8.316630363464357e-17
8540.827648967941,1.2255216598510743e-16
8542.797144960176,8.912221908569336e-17
8544.762404216863,4.5422015190124514e-17
8546.72811557886,4.648131847381592e-17
8548.698972205662,1.0768501281738282e-16
8550.665589169952,1.9971998214721682e-16
8552.637353769469,1.55509614944458e-16
8554.604876753261,6.801023006439209e-17
8556.577549743793,5.016655445098877e-17
8558.545979164492,4.573236465454102e-17
8560.514861419791,4.345476627349854e-17
8562.488897239735,4.505616664886475e-17
8564.458686558157,4.576937198638916e-17
8566.433631815467,4.464098930358887e-17
8568.404328614894,4.525687694549561e-17
8570.380183728546,4.425628185272217e-17
8572.351788427055,4.575138568878174e-17
8574.323846690633,4.9304833412170416e-17
8576.30106683208,4.6973404884338384e-17
8578.274033621965,4.809520721435547e-17
8580.252164667796,4.44973373413086e-17
8582.226040402546,3.902145147323609e-17
8584.20508277241,3.633509159088135e-17
8586.179867870775,3.684588432312012e-17
8588.159821984522,6.120393753051758e-17
