id,x_0,y_0,sharpness,roundness1,roundness2,npix,sky,peak,flux_0,mag,group_id,x_fit,y_fit,flux_fit,flux_unc,x_0_unc,y_0_unc,iter_detected
133,50.96624540753595,84.60198566152188,0.35909626633149483,-0.04746676981449127,-0.030099614948400983,25,0.0,0.5259994268417358,4.456204414367676,-1.6224127612914878,81,52.24913967173949,86.13443225610658,12.102528223611106,0.11279109125998146,0.007019001698816031,0.012124950849990834,1
134,76.69648645109646,84.95004399102352,0.3656542696234909,-0.0704100951552391,0.005195093556469757,25,0.0,0.7657238841056824,6.994348049163818,-2.111868099126068,82,76.660431300909,84.93416281983612,22.841635824695075,0.12394373992898752,0.07227465364279656,0.06158656974907523,1
135,259.7973046931884,85.52580812756437,0.3889751789454178,0.07814458757638931,0.01411875292132006,25,0.0,0.9252678155899048,9.174118041992188,-2.4064108095836607,83,261.928217516832,86.12869009628184,-0.6757584529895527,0.19890814278652896,0.02063518729077744,0.02044147909154722,1
137,284.74213769791186,86.5100144696526,0.4485253501773362,0.2875607907772064,0.21579813410831533,25,0.0,0.15550938248634338,1.0781102180480957,-0.08165790547378804,85,284.5552943770155,87.879017959588,4.442201329971192,0.1314364541854905,0.010679684406874067,0.012996440706807607,1
138,44.07436292704436,92.57006835694943,0.33796864898570084,-0.8838872313499451,0.4456556397792787,25,0.0,0.1904565691947937,1.123684048652649,-0.1266105396135013,86,46.30002864915192,91.99312325165725,6.5171060559632155,0.14088693859089815,0.0491168966109241,0.04869374362136749,1
140,42.74680683157785,94.027546585669,0.43105694466383876,0.028488975018262863,0.2956310942474354,25,0.0,0.1979527771472931,1.0990147590637207,-0.10250881189788053,86,39.70223455905125,94.06860908392694,8.121087991258912,0.13298031314549405,0.055224846503333,0.04485709982676026,1
139,30.27234881801068,93.21814371106913,0.39659750268602373,-0.04019301012158394,-0.14269087220179302,25,0.0,0.7142801284790039,6.33585786819458,-2.0045135654911754,87,30.35555247358332,93.51704328378817,21.63208077652759,0.1222584951204208,0.045937671819155514,0.03446253070200013,1
141,57.35606843516331,95.94712526482591,0.40815027744310806,-0.39940425753593445,0.28144309757450586,25,0.0,0.25861048698425293,1.6060333251953125,-0.5143863816192249,88,66.10816409061385,105.53865925359936,22.817912499824704,0.21207696066948764,0.12388320449991384,0.17868002481786424,1
142,96.38752045564513,97.47151974077963,0.3845066026539828,0.07617002725601196,-0.04682731619049556,25,0.0,1.5379445552825928,14.976365089416504,-2.938516046565062,89,96.39087822358482,97.51148670981317,41.31961758046919,0.10542682827790807,0.08418970621460715,0.06143518832548533,1
143,113.88419202372233,97.03372573102571,0.38055795984154117,-0.22287635505199432,0.11857311194793366,25,0.0,0.21239355206489563,2.0116899013519287,-0.7589025894300695,90,113.5745793091167,96.74470384811453,7.1948154259666754,0.26939339811225294,0.05739144746576206,0.09771793062545331,1
